frame,label,confidence,x1,y1,x2,y2
19,hilal,0.26031798124313354,129,398,299,566
20,hilal,0.26172158122062683,120,393,306,569
21,hilal,0.31823664903640747,121,393,301,568
25,hilal,0.2697758078575134,107,330,335,572
29,hilal,0.2618572413921356,111,322,324,567
36,hilal,0.2617906332015991,111,333,325,567
37,hilal,0.2932108938694,114,337,313,564
38,hilal,0.2960391044616699,114,339,314,566
39,hilal,0.28877124190330505,110,337,320,567
40,hilal,0.25815680623054504,110,334,319,567
41,hilal,0.28110355138778687,108,336,325,567
42,hilal,0.26154953241348267,110,339,311,566
55,hilal,0.27391618490219116,110,378,301,567
56,hilal,0.26368212699890137,110,382,301,565
71,hilal,0.2625008523464203,109,323,318,565
72,hilal,0.2786026895046234,110,327,313,566
73,hilal,0.28285107016563416,109,332,310,566
74,hilal,0.2627159655094147,107,337,309,565
75,hilal,0.28980085253715515,106,336,314,566
76,hilal,0.26829737424850464,104,329,319,566
77,hilal,0.3081682622432709,105,336,314,567
78,hilal,0.37110352516174316,109,372,293,566
79,hilal,0.3691484034061432,111,372,288,566
80,hilal,0.42853236198425293,113,355,278,566
81,hilal,0.454182893037796,109,353,281,567
82,hilal,0.3879889249801636,115,348,279,565
83,hilal,0.3563009202480316,111,340,296,565
84,hilal,0.2796200215816498,114,340,299,565
86,hilal,0.3038746416568756,109,338,306,565
87,hilal,0.39999333024024963,116,377,290,563
88,hilal,0.3861624300479889,115,373,291,564
89,hilal,0.35659995675086975,116,372,291,564
96,hilal,0.31538423895835876,110,339,320,565
97,hilal,0.26395347714424133,111,342,319,563
98,hilal,0.275946706533432,109,339,328,565
99,hilal,0.2929614186286926,114,349,314,565
100,hilal,0.2664913833141327,118,376,294,566
103,hilal,0.2505956292152405,118,341,301,565
104,hilal,0.25534841418266296,116,337,308,565
105,hilal,0.26051729917526245,113,317,321,566
106,hilal,0.26041457056999207,112,321,321,566
107,hilal,0.2730688452720642,110,318,322,566
108,hilal,0.3001783788204193,112,326,311,566
110,hilal,0.28459057211875916,116,322,316,566
111,hilal,0.31207653880119324,116,321,313,563
112,hilal,0.4134780764579773,116,328,309,563
113,hilal,0.31609123945236206,119,334,305,562
114,hilal,0.26927390694618225,121,331,307,562
115,hilal,0.2676803767681122,118,331,308,564
117,hilal,0.2552398145198822,115,315,319,562
118,hilal,0.29180559515953064,115,315,320,562
119,hilal,0.3054376542568207,115,315,319,562
148,hilal,0.2545822560787201,112,347,334,564
149,hilal,0.2712865173816681,112,350,332,564
161,hilal,0.2616964280605316,116,383,333,566
162,hilal,0.2732870578765869,116,346,331,565
163,hilal,0.3812275230884552,112,333,334,565
164,hilal,0.35876724123954773,112,333,333,566
165,hilal,0.3793555796146393,114,330,325,567
166,hilal,0.44518738985061646,113,321,332,566
167,hilal,0.41499418020248413,111,320,335,566
168,hilal,0.3933175206184387,112,339,337,566
467,hilal,0.31386110186576843,124,326,304,561
468,hilal,0.3884543478488922,119,311,316,564
469,hilal,0.30329617857933044,112,267,334,562
